date,temperature,humidity,luminosity
2021-11-17 15:16:58.791,19.1,29.0,118
2021-11-17 15:16:56.513,19.1,29.0,118
2021-11-17 15:16:54.236,19.2,29.1,118
2021-11-17 15:16:51.958,19.2,29.0,118
2021-11-17 15:16:49.681,19.2,29.0,118
2021-11-17 15:16:47.403,19.2,29.0,118
2021-11-17 15:16:45.125,19.2,29.0,118
2021-11-17 15:16:42.848,19.2,29.0,118
2021-11-17 15:16:40.570,19.2,29.0,118
2021-11-17 15:16:38.292,19.2,29.0,118
2021-11-17 15:16:36.015,19.2,28.9,118
2021-11-17 15:16:33.737,19.2,28.9,118
2021-11-17 15:16:31.460,19.2,29.1,118
2021-11-17 15:16:29.182,19.2,29.0,118
2021-11-17 15:16:26.904,19.2,29.0,118
2021-11-17 15:16:24.627,19.2,28.8,118
2021-11-17 15:16:22.349,19.2,28.8,118
2021-11-17 15:16:20.071,19.2,28.7,118
2021-11-17 15:16:17.794,19.2,28.6,118
2021-11-17 15:16:15.516,19.2,28.6,118
2021-11-17 15:16:13.239,19.2,28.5,118
2021-11-17 15:16:10.961,19.2,28.5,118
2021-11-17 15:16:08.683,19.3,28.4,118
2021-11-17 15:16:06.406,19.3,28.4,117
2021-11-17 15:16:04.128,19.3,28.3,117
2021-11-17 15:16:01.851,19.3,28.2,117
2021-11-17 15:15:59.573,19.3,28.2,117
2021-11-17 15:15:57.291,19.3,28.1,117
2021-11-17 15:15:55.013,19.3,28.1,117
2021-11-17 15:15:52.736,19.4,28.0,117
2021-11-17 15:15:50.458,19.4,28.0,117
2021-11-17 15:15:48.181,19.4,28.0,117
2021-11-17 15:15:45.903,19.4,27.9,117
2021-11-17 15:15:43.625,19.4,27.9,117
2021-11-17 15:15:41.348,19.4,27.9,117
2021-11-17 15:15:39.070,19.5,27.9,118
2021-11-17 15:15:36.792,19.5,28.0,117
2021-11-17 15:15:34.515,19.5,28.0,117
2021-11-17 15:15:32.237,19.5,28.0,117
2021-11-17 15:15:29.960,19.5,28.0,117
2021-11-17 15:15:27.682,19.5,28.0,117
2021-11-17 15:15:25.404,19.5,28.0,117
2021-11-17 15:15:23.127,19.6,28.1,116
2021-11-17 15:15:20.849,19.6,28.1,117
2021-11-17 15:15:18.572,19.6,28.1,117
2021-11-17 15:15:16.294,19.6,28.1,117
2021-11-17 15:15:14.016,19.6,28.1,117
2021-11-17 15:15:11.739,19.6,28.1,117
2021-11-17 15:15:09.457,19.6,28.1,117
2021-11-17 15:15:07.179,19.7,28.2,117
2021-11-17 15:15:04.902,19.6,28.1,117
2021-11-17 15:15:02.624,19.7,28.1,117
2021-11-17 15:15:00.347,19.7,28.1,117
2021-11-17 15:14:58.069,19.7,28.1,117
2021-11-17 15:14:55.791,19.7,28.1,117
2021-11-17 15:14:53.514,19.7,28.1,117
2021-11-17 15:14:51.236,19.8,28.1,117
2021-11-17 15:14:48.959,19.8,28.1,117
2021-11-17 15:14:46.681,19.8,28.1,117
2021-11-17 15:14:44.403,19.8,28.1,117
2021-11-17 15:14:42.126,19.8,28.0,117
2021-11-17 15:14:39.848,19.8,28.0,117
2021-11-17 15:14:37.571,19.8,28.0,117
2021-11-17 15:14:35.293,19.8,28.0,117
2021-11-17 15:14:33.015,19.8,28.0,118
2021-11-17 15:14:30.734,19.8,28.0,117
2021-11-17 15:14:28.456,19.9,28.0,118
2021-11-17 15:14:26.178,19.9,28.0,118
2021-11-17 15:14:23.901,19.9,28.0,118
2021-11-17 15:14:21.623,19.9,28.0,118
2021-11-17 15:14:19.345,19.9,28.0,118
2021-11-17 15:14:17.068,19.9,28.0,118
2021-11-17 15:14:14.790,19.9,28.0,118
2021-11-17 15:14:12.513,19.9,28.0,118
2021-11-17 15:14:10.235,19.9,28.0,118
2021-11-17 15:14:07.957,20.0,28.0,119
2021-11-17 15:14:05.680,20.0,28.1,119
2021-11-17 15:14:03.402,20.0,28.1,119
2021-11-17 15:14:01.125,20.0,28.1,118
2021-11-17 15:13:58.847,20.0,28.1,118
2021-11-17 15:13:56.569,20.0,28.2,118
2021-11-17 15:13:54.291,20.1,28.3,118
2021-11-17 15:13:52.014,20.0,28.2,118
2021-11-17 15:13:49.736,20.1,28.4,119
2021-11-17 15:13:47.459,20.1,28.4,118
2021-11-17 15:13:45.181,20.1,28.4,119
2021-11-17 15:13:42.903,20.1,28.5,118
2021-11-17 15:13:40.626,20.1,28.4,119
2021-11-17 15:13:38.348,20.1,28.4,119
2021-11-17 15:13:36.066,20.1,28.4,120
2021-11-17 15:13:33.789,20.1,28.3,121
2021-11-17 15:13:31.511,20.1,28.3,120
2021-11-17 15:13:29.234,20.0,28.2,119
2021-11-17 15:13:26.956,20.1,28.3,119
2021-11-17 15:13:24.678,20.0,28.3,119
2021-11-17 15:13:22.401,20.0,28.2,121
2021-11-17 15:13:20.123,20.0,28.3,121
2021-11-17 15:13:17.845,20.0,28.2,119
2021-11-17 15:13:15.568,20.0,28.2,120
2021-11-17 15:13:13.290,20.0,28.2,121
2021-11-17 15:13:11.013,20.1,28.2,119
2021-11-17 15:13:08.735,20.0,28.2,119
2021-11-17 15:13:06.457,20.0,28.2,119
2021-11-17 15:13:04.180,20.0,28.2,120
2021-11-17 15:13:01.902,20.0,28.1,120
2021-11-17 15:12:59.625,20.0,28.1,119
2021-11-17 15:12:57.347,20.1,28.2,119
2021-11-17 15:12:55.069,20.0,28.1,121
2021-11-17 15:12:52.792,20.1,28.1,118
2021-11-17 15:12:50.514,20.1,28.1,120
